Experiment
----------
Name:	15-12-11 Magra OVA eosinofilica Bude 3
File name:	C:\Users\Wothan\Documents\My flexiVent data\15-12-11 Magra OVA eosinofilica Bude 3.exp
Operator:	Cida
Comment:	Default template provided for mouse experiments.
 
Subjects
--------
 Subject  Name 	Weight	Gender	Strain	Group	Comment
 Magra  OVA  eosinofilica  Bude  3 	 24  g 	female	Balbi		
 
Perturbation:	SnapShot-150 v5.2
 
 
Data
----
 
 Event  ID  -> 	7	7	8	8
    	 12/11/2015  10:57:30  AM 	 12/11/2015  10:57:30  AM 	 12/11/2015  10:57:46  AM 	 12/11/2015  10:57:46  AM 
    	 Closed  tube  cal. 	 Closed  tube  cal. 	 Open  tube  cal. 	 Open  tube  cal. 
Time	Vol	Pcyl	Vol	Pcyl
s	mL	cmH2O	mL	cmH2O
    				
0	0	3.0201	0	0.40974
0.0039063	0	3.0209	0.000004	0.40577
0.0078125	0.000003	3.0178	0.000102	0.40191
0.011719	0.000018	3.0097	0.000587	0.39579
0.015625	0	3.0024	0.001584	0.36386
0.019531	-0.0002	2.998	0.00254	0.28993
0.023438	-0.000727	2.9786	0.002636	0.19215
0.027344	-0.001543	2.9245	0.001633	0.12047
0.03125	-0.002397	2.8487	0.000041	0.11373
0.035156	-0.003005	2.7858	-0.001422	0.15848
0.039063	-0.003173	2.7552	-0.002239	0.21175
0.042969	-0.002847	2.7573	-0.002201	0.25951
0.046875	-0.002135	2.8031	-0.00134	0.31812
0.050781	-0.001176	2.9162	0.000197	0.38618
0.054688	-0.000026	3.1015	0.002263	0.44258
0.058594	0.001298	3.3407	0.004769	0.47817
0.0625	0.002782	3.6159	0.007679	0.50164
0.066406	0.004482	3.9258	0.010955	0.5251
0.070313	0.006453	4.2789	0.014558	0.5542
0.074219	0.008686	4.6754	0.018474	0.58761
0.078125	0.011118	5.1093	0.022696	0.62232
0.082031	0.013734	5.5794	0.027252	0.6579
0.085938	0.016578	6.0919	0.032187	0.69685
0.089844	0.019683	6.6489	0.037514	0.73893
0.09375	0.023029	7.2452	0.04324	0.78017
0.097656	0.026616	7.8779	0.04938	0.81552
0.10156	0.030469	8.5458	0.055891	0.84451
0.10547	0.034562	9.2439	0.062707	0.86869
0.10938	0.038793	9.9647	0.069762	0.8888
0.11328	0.043126	10.702	0.076994	0.90777
0.11719	0.047591	11.455	0.084382	0.92655
0.12109	0.052146	12.224	0.091924	0.94506
0.125	0.056758	13.005	0.099623	0.96345
0.12891	0.06146	13.793	0.10748	0.97717
0.13281	0.066249	14.585	0.115418	0.98195
0.13672	0.071079	15.378	0.123318	0.98123
0.14063	0.075897	16.163	0.131158	0.98238
0.14453	0.08063	16.931	0.139038	0.98614
0.14844	0.085251	17.683	0.146988	0.98452
0.15234	0.089764	18.425	0.154918	0.97489
0.15625	0.094192	19.155	0.162778	0.96264
0.16016	0.098552	19.866	0.170518	0.94847
0.16406	0.102834	20.555	0.178068	0.92794
0.16797	0.107028	21.224	0.185358	0.89849
0.17188	0.111155	21.878	0.192348	0.86318
0.17578	0.115195	22.516	0.199008	0.82487
0.17969	0.119093	23.13	0.205358	0.7868
0.18359	0.122793	23.712	0.211378	0.75261
0.1875	0.126283	24.252	0.217118	0.72147
0.19141	0.129566	24.746	0.222598	0.68908
0.19531	0.132607	25.195	0.227728	0.65252
0.19922	0.135371	25.602	0.232438	0.61251
0.20313	0.137862	25.96	0.236728	0.5723
0.20703	0.140106	26.264	0.240628	0.53291
0.21094	0.142074	26.518	0.244138	0.49242
0.21484	0.143712	26.727	0.247208	0.44989
0.21875	0.145043	26.895	0.249808	0.40757
0.22266	0.146141	27.02	0.251978	0.36797
0.22656	0.14702	27.1	0.253738	0.32947
0.23047	0.147658	27.133	0.255048	0.29156
0.23438	0.148067	27.123	0.255858	0.25984
0.23828	0.148283	27.088	0.256188	0.24194
0.24219	0.148325	27.044	0.256178	0.23808
0.24609	0.148217	27.003	0.255888	0.23824
0.25	0.147988	26.969	0.255348	0.2234
0.25391	0.147666	26.934	0.254538	0.18062
0.25781	0.147227	26.867	0.253368	0.11872
0.26172	0.14659	26.705	0.251748	0.05793
0.26563	0.145651	26.428	0.249628	0.010109
0.26953	0.144319	26.097	0.246998	-0.029789
0.27344	0.14256	25.772	0.243858	-0.069318
0.27734	0.140413	25.424	0.240158	-0.11086
0.28125	0.137938	24.976	0.235908	-0.15518
0.28516	0.135198	24.411	0.231218	-0.19933
0.28906	0.132244	23.809	0.226148	-0.23873
0.29297	0.129094	23.214	0.220728	-0.27235
0.29688	0.125751	22.574	0.214948	-0.30241
0.30078	0.122233	21.861	0.208878	-0.32797
0.30469	0.11852	21.116	0.202618	-0.34525
0.30859	0.114592	20.376	0.196198	-0.35284
0.3125	0.11052	19.65	0.189648	-0.35688
0.31641	0.10641	18.939	0.183048	-0.36511
0.32031	0.102334	18.249	0.176378	-0.37923
0.32422	0.098311	17.583	0.169618	-0.39579
0.32813	0.094339	16.933	0.162678	-0.41247
0.33203	0.09042	16.282	0.155528	-0.42912
0.33594	0.086514	15.622	0.148168	-0.44345
0.33984	0.08254	14.951	0.140638	-0.45249
0.34375	0.078435	14.267	0.133068	-0.45441
0.34766	0.07422	13.57	0.125588	-0.44916
0.35156	0.069947	12.866	0.118218	-0.43802
0.35547	0.065647	12.163	0.110952	-0.42548
0.35938	0.061336	11.463	0.103774	-0.4147
0.36328	0.057062	10.774	0.096621	-0.40473
0.36719	0.052907	10.107	0.089489	-0.39339
0.37109	0.048916	9.4696	0.082455	-0.37705
0.375	0.04508	8.8659	0.075654	-0.35114
0.37891	0.041406	8.2978	0.069178	-0.31417
0.38281	0.037934	7.7741	0.063054	-0.27056
0.38672	0.034683	7.2994	0.057322	-0.22746
0.39063	0.031638	6.8641	0.051972	-0.18909
0.39453	0.028785	6.4649	0.046987	-0.15434
0.39844	0.026145	6.1213	0.042381	-0.11982
0.40234	0.023734	5.8541	0.038157	-0.084771
0.40625	0.021574	5.649	0.034356	-0.050783
0.41016	0.019722	5.4699	0.031006	-0.015845
0.41406	0.01818	5.2997	0.02808	0.021495
0.41797	0.016861	5.1438	0.025538	0.059489
